#,Location,Physically Full,Replen Logic Present,New Item,FTP,Cases/Pallet,Cases/Layer,Depth,Sequence,Capacity Measure,Capacity,Min Replen,Max Replen,Color,
1,801-01-A-01,19200-97181-40,19200-97181-40,36241-77617-03,10X3=30,30,10,1,1,Pallet,1,20,30,Layer Pick,1
2,801-02-A-01,19200-96215-00,19200-96215-00,19200-49113-00,11X3=33,33,11,2,2,Pallet,1,33,66,Layer Pick,1
3,801-03-A-01,0,19200-98012-00,36241-88786-00,10X3=30,30,10,1,3,Pallet,1,20,30,Layer Pick,0
4,801-04-A-01,19200-89962-00,19200-89962-00,19200-96215-00,11X3=33,33,11,2,4,Pallet,1,33,66,Layer Pick,1
5,801-05-A-01,19200-78915-30,19200-78915-30,36241-97402-30,9X4=36,36,9,1,5,Pallet,1,18,36,Layer Pick,1
6,801-06-A-01,19200-98010-00,19200-98010-00,19200-89962-00,11X3=33,33,11,2,6,Pallet,1,33,66,Layer Pick,1
7,801-07-A-01,62338-82680-10,62338-82680-10,19200-00351-00,9X4=36,36,9,1,7,Pallet,1,18,36,Layer Pick,1
8,801-08-A-01,19200-98769-01,19200-98769-01,19200-78915-30,9X4=36,36,9,2,8,Pallet,1,36,72,Layer Pick,1
9,801-09-A-01,19200-89057-00,19200-89057-00,62338-83134-16,13X3=39,39,13,1,9,Pallet,1,26,39,Layer Pick,1
10,801-10-A-01,19200-98289-00,19200-98289-00,19200-02699-31,9X4=36,36,9,2,10,Pallet,1,36,72,Layer Pick,1
11,801-11-A-01,0,19200-83262-02,36241-74297-04,12X3=36,36,12,1,11,Pallet,1,24,36,Layer Pick,0
12,801-12-A-01,51700-20646-00,51700-20646-00,19200-75352-31,9X4=36,36,9,2,12,Pallet,1,36,72,Layer Pick,1
13,801-13-A-01,19200-80834-32,51700-20615-00,19200-89973-00,11X3=33,33,11,1,13,Pallet,1,22,33,Layer Pick,0
14,801-14-A-01,62338-02933-00,62338-02933-00,62338-83768-16,13X3=39,39,13,2,14,Pallet,1,39,78,Layer Pick,1
15,801-15-A-01,19200-81700-37,19200-81700-37,19200-78626-05,14X4=56,56,14,1,15,Pallet,1,28,56,Layer Pick,1
16,801-16-A-01,19200-56202-00,19200-56202-00,19200-99829-01,9X4=36,36,9,2,16,Pallet,1,36,72,Layer Pick,1
17,801-17-A-01,19200-99608-03,19200-99608-03,19200-78630-06,14X4=56,56,14,1,17,Pallet,1,28,56,Layer Pick,1
18,801-18-A-01,62338-78473-48,62338-78473-48,19200-99828-00,9X4=36,36,9,2,18,Pallet,1,36,72,Layer Pick,1
19,801-19-A-01,36241-97402-30,36241-97402-30,19200-49114-00,14X4=56,56,14,1,19,Pallet,1,28,56,Layer Pick,1
20,801-20-A-01,19200-98015-01,19200-98015-01,19200-56202-00,13X3=39,39,13,2,20,Pallet,1,39,78,Layer Pick,1
21,801-21-A-01,19200-99487-00,19200-99487-00,19200-02569-17,17X4=68,68,17,1,21,Pallet,1,34,68,Layer Pick,1
22,801-22-A-01,0,19200-98016-01,19200-95872-00,13X3=39,39,13,2,22,Pallet,1,39,78,Layer Pick,0
23,801-23-A-01,62338-85825-03,62338-85825-03,62338-77940-16,12X4=48,48,12,1,23,Pallet,1,24,48,Layer Pick,1
24,801-24-A-01,36241-74828-02,36241-74828-02,19200-95181-00,14X4=56,56,14,2,24,Pallet,1,56,112,Layer Pick,1
25,801-25-A-01,19200-98013-00,19200-98013-00,62338-76974-15,12X4=48,48,12,1,25,Pallet,1,24,48,Layer Pick,1
26,801-26-A-01,51700-78826-20,51700-78826-20,19200-89331-01,12X4=48,48,12,2,26,Pallet,1,48,96,Layer Pick,1
27,801-27-A-01,0,51700-87103-00,59631-78924-00,15X4=60,60,15,1,27,Pallet,1,30,60,Layer Pick,0
28,801-28-A-01,0,#N/A,19200-98769-01,12X4=48,48,12,2,28,Pallet,1,48,96,Layer Pick,#N/A
29,801-29-A-01,51700-95315-01,51700-95315-01,19200-99653-01,12X4=48,48,12,1,29,Pallet,1,24,48,Layer Pick,1
30,801-30-A-01,0,#N/A,19200-89289-00,12X4=48,48,12,2,30,Pallet,1,48,96,Layer Pick,#N/A
31,801-31-A-01,0,19200-89347-40,19200-00706-01,17X4=68,68,17,1,31,Pallet,1,34,68,Layer Pick,0
32,801-32-A-01,0,#N/A,19200-87870-32,17X5=85,85,17,2,32,Pallet,1,85,170,Layer Pick,#N/A
33,801-33-A-01,19200-83721-04,19200-83721-04,19200-83262-02,17X4=68,68,17,1,33,Pallet,1,34,68,Layer Pick,1
34,801-34-A-01,0,#N/A,19200-99041-02,12X4=48,48,12,2,34,Pallet,1,48,96,Layer Pick,#N/A
35,801-35-A-01,19200-79132-02,19200-79132-02,62338-00230-11,10X4=40,40,10,1,35,Pallet,1,20,40,Layer Pick,1
