Location,numberOfLayersPicked
54,3630
52,3277
56,3157
50,2577
58,2423
47,2349
48,2222
60,2083
45,2063
46,1882
62,1881
43,1823
44,1805
41,1782
42,1719
39,1678
40,1575
37,1572
38,1537
35,1530
36,1527
33,1505
34,1489
31,1446
32,1368
LAY426,1354
29,1279
LAY425,1261
27,1252
25,1237
LAY424,1234
23,1224
24,1189
LAY423,1147
21,1146
22,1037
LAY422,1025
19,942
20,921
LAY421,843
LAY412,796
LAY411,744
LAY413,741
17,721
18,664
LAY410,649
LAY414,640
LAY420,597
LAY409,569
LAY415,543
LAY408,539
LAY416,520
15,511
16,510
LAY407,503
LAY417,503
LAY406,470
LAY418,469
LAY405,451
LAY419,434
LAY404,406
13,380
14,379
LAY403,373
LAY402,366
LAY401,365
11,300
12,299
9,297
10,287
7,268
8,247
5,247
6,238
3,234
4,214
1,211
2,141
78,1948
114,1614
76,1614
80,1613
112,1605
116,1457
74,1418
82,1233
110,1212
118,1198
72,1197
84,1163
108,1060
85,1047
105,917
86,890
106,887
87,834
103,756
88,749
104,746
89,737
101,684
90,588
102,479
91,440
99,430
92,415
100,393
93,377
97,369
94,359
98,318
95,234
96,226
LAY430,219
LAY448,205
LAY431,181
LAY447,171
LAY432,149
LAY446,127
LAY433,111
LAY445,98
LAY434,95
LAY444,65
LAY435,62
LAY443,60
LAY436,39
LAY442,30
LAY437,27
LAY441,23
LAY438,17
LAY440,15
136,2886
134,2624
138,2001
132,1961
140,1906
141,1842
130,1651
142,1635
143,1628
128,1341
144,1290
145,1099
146,1092
147,1012
148,1007
149,994
150,966
151,802
152,726
153,723
154,613
155,602
156,601
157,593
158,592
159,592
161,590
163,582
LAY449,566
165,532
166,522
LAY450,498
167,440
168,428
LAY451,415
169,414
170,383
LAY452,366
LAY461,364
LAY460,363
LAY462,350
171,346
172,264
LAY459,255
LAY463,249
LAY453,241
LAY458,239
LAY464,236
LAY457,192
LAY465,172
173,123
174,119
LAY456,105
LAY466,102
LAY455,73
LAY467,69
LAY454,64
LAY468,60
LAY469,52
175,45
176,30
LAY470,18
LAY471,17
177,14
178,11
179,1
