Location,"New Item"
801-01-A-01,36241-77617-03
801-02-A-01,19200-49113-00
801-03-A-01,36241-88786-00
801-04-A-01,19200-96215-00
801-05-A-01,36241-97402-30
801-06-A-01,19200-89962-00
801-07-A-01,19200-00351-00
801-08-A-01,19200-78915-30
801-09-A-01,62338-83134-16
801-10-A-01,19200-02699-31
801-11-A-01,36241-74297-04
801-12-A-01,19200-75352-31
801-13-A-01,19200-89973-00
801-14-A-01,62338-83768-16
801-15-A-01,19200-78626-05
801-16-A-01,19200-99829-01
801-17-A-01,19200-78630-06
801-18-A-01,19200-99828-00
801-19-A-01,19200-49114-00
801-20-A-01,19200-56202-00
801-21-A-01,19200-02569-17
801-22-A-01,19200-95872-00
801-23-A-01,62338-77940-16
801-24-A-01,19200-95181-00
801-25-A-01,62338-76974-15
801-26-A-01,19200-89331-01
801-27-A-01,59631-78924-00
801-28-A-01,19200-98769-01
801-29-A-01,19200-99653-01
801-30-A-01,19200-89289-00
801-31-A-01,19200-00706-01
801-32-A-01,19200-87870-32
801-33-A-01,19200-83262-02
801-34-A-01,19200-99041-02
801-35-A-01,62338-00230-11
801-36-A-01,19200-99100-00
801-37-A-01,19200-00601-30
801-38-A-01,19200-99621-00
801-39-A-01,19200-79326-32
801-40-A-01,19200-99833-00
801-41-A-01,19200-99805-00
801-42-A-01,19200-98012-00
801-43-A-01,19200-79329-34
801-44-A-01,19200-98390-00
801-45-A-01,36241-04675-02
801-46-A-01,19200-98011-00
801-47-A-01,62338-02790-00
801-48-A-01,19200-98013-00
801-50-A-01,19200-98010-00
801-52-A-01,19200-79556-02
801-54-A-01,19200-98016-01
801-56-A-01,19200-98015-01
801-58-A-01,62338-99624-00
801-60-A-01,19200-89333-00
801-62-A-01,19200-99608-03
801-72-A-01,19200-99778-00
801-74-A-01,51700-81053-22
801-76-A-01,51700-87103-00
801-78-A-01,19200-78033-02
801-80-A-01,19200-84251-37
801-82-A-01,19200-89347-37
801-84-A-01,19200-77182-60
801-85-A-01,19200-81700-37
801-86-A-01,19200-83623-00
801-87-A-01,19200-89946-04
801-88-A-01,19200-94143-00
801-89-A-01,19200-80296-37
801-90-A-01,19200-80306-02
801-91-A-01,19200-89346-37
801-92-A-01,19200-89448-00
801-93-A-01,19200-97181-37
801-94-A-01,51700-99662-00
801-95-A-01,62338-77897-21
801-96-A-01,51700-89730-02
801-97-A-01,62338-05762-21
801-98-A-01,51700-78826-20
801-99-A-01,62338-74734-22
801-100-A-01,62338-87980-02
801-101-A-01,19200-81145-42
801-102-A-01,51700-20614-00
801-103-A-01,19200-82159-43
801-104-A-01,19200-99799-00
801-105-A-01,19200-97181-41
801-106-A-01,19200-03894-00
801-108-A-01,51700-20642-01
801-110-A-01,51700-20611-01
801-112-A-01,51700-20639-01
801-114-A-01,51700-20646-00
801-116-A-01,51700-20645-01
801-118-A-01,51700-20615-01
801-128-A-01,62338-02936-00
801-130-A-01,51700-99671-00
801-132-A-01,62338-02292-01
801-134-A-01,62338-88413-00
801-136-A-01,51700-95315-01
801-138-A-01,62338-84473-45
801-140-A-01,62338-93699-02
801-141-A-01,51700-20610-01
801-142-A-01,62338-85595-01
801-143-A-01,19200-98666-00
801-144-A-01,19200-98293-00
801-145-A-01,51700-20638-02
801-146-A-01,51700-99667-00
801-147-A-01,51700-20641-01
801-148-A-01,62338-85826-03
801-149-A-01,62338-82680-10
801-150-A-01,62338-93947-04
801-151-A-01,62338-01113-00
801-152-A-01,62338-02034-00
801-153-A-01,62338-08685-05
801-154-A-01,62338-78473-48
801-155-A-01,62338-91099-02
